Full name,Sortable name,Canvas user id,Overall course grade,Assignment on time percent,Last page view time,Last participation time,Page Views,Participations,Email,SIS Id
Robin Thomas,"Thomas, Robin",918300000506092834,74.36672263364751,91.0137847804118,"Oct 7, 2020","Sep 30, 2020",680,25,thomasr4325@fakeuniversity.edu,UNIV11640537
Dwight Crowley,"Crowley, Dwight",918300000122488691,94.20123559626762,88.51087811428823,"Oct 7, 2020","Oct 5, 2020",455,28,crowleyd9315@fakeuniversity.edu,UNIV11647226
Denise Adkins,"Adkins, Denise",918300000368784970,78.73230202207469,96.01135447018198,"Oct 6, 2020","Oct 5, 2020",508,26,adkinsd1330@fakeuniversity.edu,UNIV11665021
Michael Mccarty,"Mccarty, Michael",918300000353796656,83.26297319052478,68.2005281299804,"Oct 7, 2020","Sep 28, 2020",878,20,mccartym7862@fakeuniversity.edu,UNIV11682523
Brittni Highbaugh,"Highbaugh, Brittni",918300000581583717,95.79230291809496,92.51011739555034,"Oct 7, 2020","Oct 5, 2020",411,29,highbaughb3788@fakeuniversity.edu,UNIV11617419
Dewayne Fields,"Fields, Dewayne",918300000183568445,91.4486638476747,92.90073384837945,"Oct 7, 2020","Oct 5, 2020",530,27,fieldsd1408@fakeuniversity.edu,UNIV11653380
Lloyd Stewart,"Stewart, Lloyd",918300000568634650,76.4586282978767,77.44471688949362,"Oct 5, 2020","Sep 28, 2020",352,20,stewartl9130@fakeuniversity.edu,UNIV11611266
Bruce Pro,"Pro, Bruce",918300000226526198,76.23147554471934,87.4841758671223,"Oct 7, 2020","Oct 5, 2020",317,22,prob6951@fakeuniversity.edu,UNIV11652874
Charles Rivera,"Rivera, Charles",918300000876930372,95.7281381413424,91.8172273429226,"Oct 7, 2020","Oct 5, 2020",731,23,riverac8242@fakeuniversity.edu,UNIV11644253
Jessica Mcchristian,"Mcchristian, Jessica",918300000982047187,99.22310781944806,95.8657501033427,"Oct 7, 2020","Oct 5, 2020",234,23,mcchristianj6613@fakeuniversity.edu,UNIV11645122
Albert Stewart,"Stewart, Albert",918300000332090844,85.68525756643875,92.92664036023145,"Oct 7, 2020","Oct 5, 2020",462,24,stewarta1910@fakeuniversity.edu,UNIV11659799
Robin Reisinger,"Reisinger, Robin",918300000348805371,99.46872203067659,95.62608615677341,"Oct 5, 2020","Oct 5, 2020",684,26,reisingerr4876@fakeuniversity.edu,UNIV11612366
George Mclelland,"Mclelland, George",918300000543504559,71.19687070273768,58.932011598006234,"Oct 5, 2020","Oct 5, 2020",236,24,mclellandg3693@fakeuniversity.edu,UNIV11654216
Phillip Garland,"Garland, Phillip",918300000148367966,99.81788389313472,91.54315544637873,"Oct 7, 2020","Oct 5, 2020",466,24,garlandp9599@fakeuniversity.edu,UNIV11612360
Gustavo Collier,"Collier, Gustavo",918300000246213564,98.54939544776632,91.72097938846193,"Oct 7, 2020","Oct 7, 2020",342,26,collierg5486@fakeuniversity.edu,UNIV11630379
Justin Scaglione,"Scaglione, Justin",918300000887268564,93.9458166791047,91.88608741589422,"Oct 7, 2020","Oct 5, 2020",784,27,scaglionej6297@fakeuniversity.edu,UNIV11610699
Darlene Christopher,"Christopher, Darlene",918300000601818666,98.49980678479302,96.43288744201844,"Oct 7, 2020","Oct 5, 2020",799,39,christopherd2357@fakeuniversity.edu,UNIV11678703
Micah Gary,"Gary, Micah",918300000381896831,61.274714864993506,59.273979052905375,"Oct 7, 2020","Oct 5, 2020",305,13,garym6522@fakeuniversity.edu,UNIV11649031
Solomon Gonzalez,"Gonzalez, Solomon",918300000393426108,90.63843194708734,95.93433663837142,"Oct 7, 2020","Oct 5, 2020",309,23,gonzalezs1219@fakeuniversity.edu,UNIV11653454
Jessica Gonzales,"Gonzales, Jessica",918300000430940014,65.51960748123616,74.85040388636737,"Oct 7, 2020","Oct 5, 2020",220,15,gonzalesj4868@fakeuniversity.edu,UNIV11642729
Juan Jones,"Jones, Juan",918300000854123629,92.43545116049552,96.16580056736039,"Oct 7, 2020","Oct 5, 2020",363,28,jonesj3537@fakeuniversity.edu,UNIV11636714
Abigail Orgain,"Orgain, Abigail",918300000459032043,75.21983504821685,91.32205275037585,"Oct 5, 2020","Oct 5, 2020",191,25,orgaina7469@fakeuniversity.edu,UNIV11686101
Annette Smith,"Smith, Annette",918300000497802928,87.63942916561307,95.47652595990391,"Oct 7, 2020","Sep 28, 2020",404,22,smitha3463@fakeuniversity.edu,UNIV11669795
James Hansen,"Hansen, James",918300000924973760,99.25288188667507,96.34502966153573,"Oct 7, 2020","Oct 5, 2020",410,24,hansenj4876@fakeuniversity.edu,UNIV11665274
Lauren Pierce,"Pierce, Lauren",918300000170077587,87.34304283128294,87.53928688360762,"Oct 7, 2020","Oct 5, 2020",677,30,piercel3389@fakeuniversity.edu,UNIV11612766
Sylvia Craven,"Craven, Sylvia",918300000364438805,84.19379787027013,92.22465537024584,"Oct 7, 2020","Oct 5, 2020",584,28,cravens3420@fakeuniversity.edu,UNIV11617208
Carolyn Leek,"Leek, Carolyn",918300000591961619,79.60390655543006,95.54394249221973,"Oct 6, 2020","Oct 5, 2020",368,20,leekc9206@fakeuniversity.edu,UNIV11647450
William Rojas,"Rojas, William",918300000209913649,89.29495541971353,87.65972269018182,"Oct 7, 2020","Oct 5, 2020",539,28,rojasw4053@fakeuniversity.edu,UNIV11648975
Edna Tumlin,"Tumlin, Edna",918300000564054964,77.49210208892465,72.58604188200908,"Oct 5, 2020","Oct 5, 2020",504,23,tumline2550@fakeuniversity.edu,UNIV11693726
Kathleen Dobransky,"Dobransky, Kathleen",918300000435801279,94.35910896220653,95.96035643307742,"Oct 7, 2020","Oct 7, 2020",1465,32,dobranskyk5743@fakeuniversity.edu,UNIV11691808
Adrian Quirk,"Quirk, Adrian",918300000618024887,96.49800123059408,91.4233938737877,"Oct 6, 2020","Oct 5, 2020",795,27,quirka5100@fakeuniversity.edu,UNIV11641872
Joseph Villegas,"Villegas, Joseph",918300000510796963,99.14153044300751,91.46581828803896,"Oct 7, 2020","Oct 7, 2020",854,25,villegasj3637@fakeuniversity.edu,UNIV11694902
Carl Livingston,"Livingston, Carl",918300000672836090,83.2515383850596,80.91031032471332,"Oct 5, 2020","Oct 5, 2020",429,23,livingstonc1887@fakeuniversity.edu,UNIV11619529
Pat Espinoza,"Espinoza, Pat",918300000255881908,93.2995165990916,95.88689018335847,"Oct 7, 2020","Oct 5, 2020",519,24,espinozap4785@fakeuniversity.edu,UNIV11697700
