Full name,Sortable name,Canvas user id,Overall course grade,Assignment on time percent,Last page view time,Last participation time,Page Views,Participations,Email,SIS Id
Rosa Fisher,"Fisher, Rosa",918300000444307407,85.38323958154824,91.86346020200185,"Oct 7, 2020","Oct 7, 2020",806,31,fisherr5608@fakeuniversity.edu,UNIV11651622
Sam Torres,"Torres, Sam",918300000838976137,97.61703380154572,92.9709786229972,"Oct 7, 2020","Oct 5, 2020",767,28,torress5965@fakeuniversity.edu,UNIV11633517
Mia Nguyen,"Nguyen, Mia",918300000193995954,80.79828152613568,90.2414944605004,"Oct 7, 2020","Sep 28, 2020",304,17,nguyenm2279@fakeuniversity.edu,UNIV11617008
Yara Ueda,"Ueda, Yara",918300000180135822,97.89074528485084,95.37520810105282,"Oct 7, 2020","Oct 5, 2020",310,25,ueday2549@fakeuniversity.edu,UNIV11695056
Sam Wang,"Wang, Sam",918300000495848899,95.42557437032926,87.99931548827949,"Oct 7, 2020","Oct 7, 2020",360,27,wangs5182@fakeuniversity.edu,UNIV11697680
Alice Zhang,"Zhang, Alice",918300000464076073,74.48023514729299,91.1193859218016,"Oct 7, 2020","Sep 30, 2020",680,25,zhanga4624@fakeuniversity.edu,UNIV11640908
Alice Evans,"Evans, Alice",918300000810373380,94.18991950400502,88.49859423313389,"Oct 7, 2020","Oct 5, 2020",455,28,evansa9739@fakeuniversity.edu,UNIV11633676
Alice Chen,"Chen, Alice",918300000712140459,78.59062787440003,95.89617605409168,"Oct 6, 2020","Oct 5, 2020",508,26,chena7554@fakeuniversity.edu,UNIV11612595
Hank Baker,"Baker, Hank",918300000413596932,83.65549342076413,68.2824714716388,"Oct 7, 2020","Sep 28, 2020",878,20,bakerh3812@fakeuniversity.edu,UNIV11683013
Quinn Smith,"Smith, Quinn",918300000713685856,95.88590104538386,92.5949122376381,"Oct 7, 2020","Oct 5, 2020",411,29,smithq2396@fakeuniversity.edu,UNIV11610550
Grace Davis,"Davis, Grace",918300000141426924,91.62301280109754,92.80424138757743,"Oct 7, 2020","Oct 5, 2020",530,27,davisg7036@fakeuniversity.edu,UNIV11653703
Tara Quinn,"Quinn, Tara",918300000327541880,76.20588540427343,77.4389746826056,"Oct 5, 2020","Sep 28, 2020",352,20,quinnt1845@fakeuniversity.edu,UNIV11662353
Carol Ueda,"Ueda, Carol",918300000633320552,76.4900564448939,87.83041841058571,"Oct 7, 2020","Oct 5, 2020",317,22,uedac2000@fakeuniversity.edu,UNIV11687975
Jack Moore,"Moore, Jack",918300000545150695,95.49542054882319,91.78900806603913,"Oct 7, 2020","Oct 5, 2020",731,23,moorej1208@fakeuniversity.edu,UNIV11650772
Yara Jones,"Jones, Yara",918300000263778577,99.16418897981048,95.88082919685606,"Oct 7, 2020","Oct 5, 2020",234,23,jonesy4962@fakeuniversity.edu,UNIV11654139
Tara Lopez,"Lopez, Tara",918300000385627887,85.80900546902257,92.87664701818301,"Oct 7, 2020","Oct 5, 2020",462,24,lopezt5919@fakeuniversity.edu,UNIV11629071
Frank Reyes,"Reyes, Frank",918300000333990868,99.66503359730169,95.61808444418254,"Oct 5, 2020","Oct 5, 2020",684,26,reyesf7815@fakeuniversity.edu,UNIV11653087
Olivia Hill,"Hill, Olivia",918300000269649209,71.19039357655718,58.89515384146136,"Oct 5, 2020","Oct 5, 2020",236,24,hillo3434@fakeuniversity.edu,UNIV11682835
Iris Wang,"Wang, Iris",918300000333909140,99.66855064549011,91.42793999207153,"Oct 7, 2020","Oct 5, 2020",466,24,wangi4838@fakeuniversity.edu,UNIV11662648
Iris Chen,"Chen, Iris",918300000367728117,98.7509194547263,91.62360244486074,"Oct 7, 2020","Oct 7, 2020",342,26,cheni3884@fakeuniversity.edu,UNIV11630536
Uma Quinn,"Quinn, Uma",918300000593180492,93.76998107854602,91.87596427881199,"Oct 7, 2020","Oct 5, 2020",784,27,quinnu2986@fakeuniversity.edu,UNIV11630597
Will Iyer,"Iyer, Will",918300000155205483,98.94802906967632,96.3938971037981,"Oct 7, 2020","Oct 5, 2020",799,39,iyerw7484@fakeuniversity.edu,UNIV11673713
Rosa Okafor,"Okafor, Rosa",918300000496781188,61.07027870538291,59.08352724289792,"Oct 7, 2020","Oct 5, 2020",305,13,okaforr5581@fakeuniversity.edu,UNIV11695400
Frank Nguyen,"Nguyen, Frank",918300000133355095,90.84181919541815,95.86238563587754,"Oct 7, 2020","Oct 5, 2020",309,23,nguyenf6602@fakeuniversity.edu,UNIV11629743
Olivia Nguyen,"Nguyen, Olivia",918300000214317695,65.41032187559527,74.67894387154568,"Oct 7, 2020","Oct 5, 2020",220,15,nguyeno8799@fakeuniversity.edu,UNIV11690908
Paul Vargas,"Vargas, Paul",918300000249602337,92.25901149697305,96.0777696618042,"Oct 7, 2020","Oct 5, 2020",363,28,vargasp6973@fakeuniversity.edu,UNIV11668946
Alice Okafor,"Okafor, Alice",918300000340999896,75.22613707297464,91.4939044089797,"Oct 5, 2020","Oct 5, 2020",191,25,okafora6723@fakeuniversity.edu,UNIV11637140
Iris Baker,"Baker, Iris",918300000630305482,87.62747043261227,95.46656541937134,"Oct 7, 2020","Sep 28, 2020",404,22,bakeri5730@fakeuniversity.edu,UNIV11676584
Mia Xu,"Xu, Mia",918300000465567001,99.02747910407935,96.31058174508905,"Oct 7, 2020","Oct 5, 2020",410,24,xum7518@fakeuniversity.edu,UNIV11642792
Grace Jones,"Jones, Grace",918300000301387564,87.0886250596465,87.56929132029471,"Oct 7, 2020","Oct 5, 2020",677,30,jonesg5241@fakeuniversity.edu,UNIV11610947
Paul Vargas,"Vargas, Paul",918300000999904136,84.60725590971279,92.3658556664568,"Oct 7, 2020","Oct 5, 2020",584,28,vargasp1092@fakeuniversity.edu,UNIV11699003
Vera Moore,"Moore, Vera",918300000712459817,79.63414605987897,95.48038383225662,"Oct 6, 2020","Oct 5, 2020",368,20,moorev9375@fakeuniversity.edu,UNIV11694964
Will Patel,"Patel, Will",918300000832024144,89.37556795148534,87.75937171967726,"Oct 7, 2020","Oct 5, 2020",539,28,patelw9578@fakeuniversity.edu,UNIV11686778
Eve Xu,"Xu, Eve",918300000277692849,77.35807640772437,72.56433148113939,"Oct 5, 2020","Oct 5, 2020",504,23,xue1001@fakeuniversity.edu,UNIV11679050
Carol Adams,"Adams, Carol",918300000625340581,94.52242535228146,95.99332122075538,"Oct 7, 2020","Oct 7, 2020",1465,32,adamsc8749@fakeuniversity.edu,UNIV11610762
Quinn Garcia,"Garcia, Quinn",918300000299284853,96.32935185882253,91.56730228937604,"Oct 6, 2020","Oct 5, 2020",795,27,garciaq7140@fakeuniversity.edu,UNIV11637107
Zoe Reyes,"Reyes, Zoe",918300000988686350,99.42933182550817,91.4676856824012,"Oct 7, 2020","Oct 7, 2020",854,25,reyesz2555@fakeuniversity.edu,UNIV11684778
Quinn Adams,"Adams, Quinn",918300000885653532,83.34153757174184,81.03397422141123,"Oct 5, 2020","Oct 5, 2020",429,23,adamsq1702@fakeuniversity.edu,UNIV11634951
Grace Lopez,"Lopez, Grace",918300000825843652,93.19788626927493,95.82513063271375,"Oct 7, 2020","Oct 5, 2020",519,24,lopezg4564@fakeuniversity.edu,UNIV11647266
